"Question","Answer","Keywords","Category"
"What is the PWDVA 2005?","It’s an Act in India to protect women from domestic violence, enacted on October 26, 2005.","PWDVA, 2005, protect, women","Introduction"
"What is the objective of PWDVA?","To provide effective protection to women from domestic violence and ensure their rights.","objective, protection, rights","Introduction"
"Who can file a complaint under PWDVA?","Any woman in a domestic relationship or someone acting on her behalf (Section 4).","file, complaint, woman","Eligibility"
"What is domestic violence under PWDVA?","Physical, sexual, verbal, emotional, or economic abuse as per Section 3.","domestic violence, abuse, Section 3","Definition"
"What reliefs can a woman get under PWDVA?","Protection orders, residence orders, monetary relief, custody, compensation (Sections 18–22).","reliefs, orders, Sections 18-22","Remedies"
"How to contact a Protection Officer?","Approach the local Protection Officer appointed under Section 8.","Protection Officer, contact","Procedure"
"Can men file under PWDVA?","No, the Act is designed to protect women in domestic relationships (Section 2(a)).","men, file, women","Eligibility"
"What is a residence order under PWDVA?","An order under Section 19 ensuring a woman’s right to stay in the shared household.","residence order, Section 19","Remedies"
"What is a protection order?","An order under Section 18 restraining the respondent from committing violence.","protection order, Section 18","Remedies"
"What is monetary relief?","Financial support under Section 20 for losses like medical expenses or earnings.","monetary relief, Section 20","Remedies"
"Who is a Protection Officer under PWDVA?","An official appointed under Section 8 to assist victims and enforce orders.","Protection Officer, Section 8","Procedure"
"What happens if a protection order is breached?","Penalties under Section 31 include up to 1 year imprisonment or Rs. 20,000 fine.","breach, Section 31, penalty","Penalties"
"How long does a PWDVA case take?","Magistrate must start hearing within 3 days and dispose within 60 days (Section 12).","case, timeline, Section 12","Procedure"
"Can a minor file under PWDVA?","Yes, through a guardian or representative (Section 4).","minor, file, guardian","Eligibility"
"What is economic abuse?","Depriving a woman of financial resources or property (Section 3).","economic abuse, Section 3","Definition"
"Can a woman file against a female relative?","Yes, if she’s in a domestic relationship (e.g., mother-in-law), per Section 2(q).","female, respondent, Section 2(q)","Eligibility"
"What does Section 1 of PWDVA say?","It states the Act’s title, extent, and commencement date (October 26, 2005).","Section 1, commencement","Introduction"
"What is a domestic relationship?","A relationship between persons living in a shared household (Section 2(f)).","domestic relationship, Section 2(f)","Definition"
"What is a shared household?","A household where the woman lives or lived with the respondent (Section 2(s)).","shared household, Section 2(s)","Definition"
"What is Section 2 of PWDVA?","It defines key terms like domestic violence, respondent, and shared household.","Section 2, definitions","Definition"
"What is Section 3 of PWDVA?","It defines domestic violence including physical, sexual, and economic abuse.","Section 3, domestic violence","Definition"
"What is Section 4 of PWDVA?","It allows any person to inform a Protection Officer about domestic violence.","Section 4, inform","Procedure"
"What is Section 5 of PWDVA?","It lists duties of police, Protection Officers, and service providers.","Section 5, duties","Procedure"
"How to file a complaint under PWDVA?","Submit an application to a Magistrate or Protection Officer (Section 12).","file, complaint, Section 12","Procedure"
"What is a Domestic Incident Report (DIR)?","A report filed under Section 9 by a Protection Officer documenting violence.","DIR, Section 9","Procedure"
"Can a divorced woman file under PWDVA?","Yes, if violence occurred during the domestic relationship.","divorced, file","Eligibility"
"What is physical abuse under PWDVA?","Any act causing bodily harm like hitting or beating (Section 3).","physical abuse, Section 3","Definition"
"What is emotional abuse?","Humiliation, insults, or threats causing mental harm (Section 3).","emotional abuse, Section 3","Definition"
"What is verbal abuse?","Name-calling or ridicule affecting a woman’s dignity (Section 3).","verbal abuse, Section 3","Definition"
"What is sexual abuse?","Unwelcome sexual acts or conduct violating dignity (Section 3).","sexual abuse, Section 3","Definition"
"Can a live-in partner file under PWDVA?","Yes, if the relationship is 'in the nature of marriage' per judicial rulings.","live-in, partner","Eligibility"
"What is Section 6 of PWDVA?","It mandates government officers to inform victims of their rights.","Section 6, inform","Procedure"
"What is Section 7 of PWDVA?","It outlines duties of shelter homes to provide refuge.","Section 7, shelter","Procedure"
"What is Section 8 of PWDVA?","It establishes the role and powers of Protection Officers.","Section 8, Protection Officer","Procedure"
"What is Section 9 of PWDVA?","It details Protection Officers’ duties like filing DIRs and aiding victims.","Section 9, duties","Procedure"
"What is Section 10 of PWDVA?","It allows registration of service providers like NGOs to assist victims.","Section 10, service provider","Procedure"
"What is Section 11 of PWDVA?","It mandates government awareness programs about the Act.","Section 11, awareness","Introduction"
"What is Section 12 of PWDVA?","It allows an aggrieved woman to approach a Magistrate for relief.","Section 12, Magistrate","Procedure"
"What is Section 13 of PWDVA?","It requires serving notice to the respondent after filing.","Section 13, notice","Procedure"
"What is Section 14 of PWDVA?","It allows courts to refer parties to counseling.","Section 14, counseling","Procedure"
"What is Section 15 of PWDVA?","It permits use of trained counselors for proceedings.","Section 15, counselors","Procedure"
"What is Section 16 of PWDVA?","It allows proceedings to be held in camera if requested.","Section 16, in camera","Procedure"
"What is Section 17 of PWDVA?","It ensures a woman’s right to reside in the shared household.","Section 17, residence","Remedies"
"What is Section 18 of PWDVA?","It provides for protection orders to stop violence.","Section 18, protection order","Remedies"
"What is Section 19 of PWDVA?","It allows residence orders to secure housing rights.","Section 19, residence order","Remedies"
"What is Section 20 of PWDVA?","It provides monetary relief for expenses or losses.","Section 20, monetary relief","Remedies"
"What is Section 21 of PWDVA?","It allows temporary custody orders for children.","Section 21, custody","Remedies"
"What is Section 22 of PWDVA?","It provides compensation for injuries due to violence.","Section 22, compensation","Remedies"
"What is Section 23 of PWDVA?","It allows interim or ex-parte orders during proceedings.","Section 23, interim order","Remedies"
"What is Section 24 of PWDVA?","It mandates free copies of orders to parties.","Section 24, copies","Procedure"
"Can a woman appeal a PWDVA order?","Yes, under Section 29, within 30 days to a higher court.","appeal, Section 29","Procedure"
"What is Section 25 of PWDVA?","It allows modification or cancellation of orders.","Section 25, modification","Procedure"
"What is Section 26 of PWDVA?","It allows relief under PWDVA in other legal proceedings.","Section 26, other proceedings","Procedure"
"What is Section 27 of PWDVA?","It specifies jurisdiction as the place of violence or residence.","Section 27, jurisdiction","Procedure"
"What is Section 28 of PWDVA?","It applies CrPC provisions to PWDVA proceedings.","Section 28, CrPC","Procedure"
"What is Section 29 of PWDVA?","It provides for appeals within 30 days.","Section 29, appeal","Procedure"
"What is Section 30 of PWDVA?","It protects officers acting in good faith under the Act.","Section 30, protection","Procedure"
"What is Section 31 of PWDVA?","It prescribes penalties for breaching protection orders.","Section 31, penalty","Penalties"
"What is Section 32 of PWDVA?","It makes breach of protection orders a cognizable offense.","Section 32, cognizable","Penalties"
"What is Section 33 of PWDVA?","It penalizes Protection Officers for neglecting duties.","Section 33, penalty","Penalties"
"What is Section 34 of PWDVA?","It prevents courts from taking cognizance without a report.","Section 34, cognizance","Procedure"
"What is Section 35 of PWDVA?","It empowers Central Government to make rules.","Section 35, rules","Introduction"
"What is Section 36 of PWDVA?","It states the Act supplements, not overrides, other laws.","Section 36, supplement","Introduction"
"What is Section 37 of PWDVA?","It allows the Central Government to remove implementation difficulties.","Section 37, difficulties","Introduction"
"Can police arrest without a warrant under PWDVA?","Yes, for breach of protection orders (Section 32).","arrest, warrant, Section 32","Penalties"
"What is the penalty for false complaints?","No specific penalty under PWDVA; IPC may apply for false cases.","false complaint, penalty","Penalties"
"Can a woman file against her husband’s relatives?","Yes, if they’re in a domestic relationship (Section 2(q)).","relatives, respondent","Eligibility"
"Can a tenant file under PWDVA?","Yes, if in a domestic relationship in a shared household.","tenant, file","Eligibility"
"How to report dowry harassment under PWDVA?","File as economic or emotional abuse linked to dowry demands.","dowry, harassment","Procedure"
"Can a foreigner file under PWDVA?","Yes, if in a domestic relationship in India.","foreigner, file","Eligibility"
"What is the role of police under PWDVA?","Assist victims, file DIRs, and enforce orders (Section 5).","police, role, Section 5","Procedure"
"Can a woman get medical help under PWDVA?","Yes, via a Magistrate’s order or Protection Officer (Section 9).","medical help, Section 9","Remedies"
"What is the role of an NGO under PWDVA?","Registered NGOs can provide shelter, legal aid under Section 10.","NGO, Section 10","Procedure"
"Can a case be settled out of court?","No, PWDVA cases require judicial orders, not mediation.","settlement, court","Procedure"
"Can a woman file anonymously?","No, identity is required, though courts may protect it.","anonymous, file","Procedure"
"What did SR Batra vs Taruna Batra say?","Supreme Court ruled a shared household must be jointly occupied.","Batra, shared household","Case Law"
"Can a woman file after 10 years of marriage?","Yes, if violence occurred during the relationship.","time, file","Eligibility"
"What is Form I under PWDVA?","A form for filing a Domestic Incident Report under the Rules.","Form I, DIR","Procedure"
"What is Form II under PWDVA?","A form for recording medical examination under the Rules.","Form II, medical","Procedure"
"Can a woman claim maintenance under PWDVA?","Yes, as monetary relief under Section 20.","maintenance, Section 20","Remedies"
"How to enforce a residence order?","Approach police or Protection Officer for enforcement.","enforce, residence order","Procedure"
"What is an ex-parte order?","An order passed without the respondent’s presence (Section 23).","ex-parte, Section 23","Remedies"
"Can a woman file against a minor?","No, respondents must be adults (Section 2(q)).","minor, respondent","Eligibility"
"What is the jurisdiction for PWDVA cases?","Where the violence occurred or where the woman resides (Section 27).","jurisdiction, Section 27","Procedure"
"Can a protection order be modified?","Yes, under Section 25, with court approval.","modify, Section 25","Procedure"
"What is interim relief under PWDVA?","Temporary relief granted during proceedings (Section 23).","interim relief, Section 23","Remedies"
